trip_id,y_actual_route,y_pred_route,lower_route,upper_route,n_segments,date,direction,interval_width
13345,3137.0,2957.8809,-3707.0442421278626,9622.805953248468,31,2024-08-27,1,13329.85019537633
13347,2740.0,2799.7278,-5039.788851314038,10639.24428802058,35,2024-08-27,2,15679.033139334617
13349,3731.0,3189.7876,-5045.041342293,11424.616713081574,36,2024-08-27,2,16469.658055374573
13351,3081.0,3166.0776,-4486.244199700037,10818.399587578455,34,2024-08-27,1,15304.643787278492
13353,2832.0,3186.0134,-3627.8816243248743,9999.90838824089,31,2024-08-27,1,13627.790012565765
13355,3034.0,2870.0974,-5545.317058470082,11285.511783506703,37,2024-08-27,2,16830.828841976785
13359,3459.0,3277.4983,-4462.781325625644,11017.778052615391,34,2024-08-27,1,15480.559378241036
13362,3340.0,3155.005,-5706.402801716921,12016.412735188602,38,2024-08-27,2,17722.815536905524
13366,3545.0,3442.3137,-4273.392305555422,11158.019670667727,34,2024-08-27,1,15431.41197622315
13367,2788.0,2992.2202,-5227.640572732227,11212.081181710499,37,2024-08-27,2,16439.721754442726
13371,2917.0,2879.523,-5636.079620276895,11395.125759040324,37,2024-08-27,2,17031.20537931722
13373,2894.0,3203.8171,-4121.08103626766,10528.715191541098,33,2024-08-27,1,14649.796227808758
13375,2588.0,3327.5327,-4603.596251872222,11258.661750224273,35,2024-08-27,1,15862.258002096496
13381,2899.0,3316.954,-4423.325557040439,11057.233821200596,34,2024-08-27,1,15480.559378241036
